bank.com ['bank.com 127.0.0.1', 'www.bank.com 202.15.5.1', 'smtp.bank.com 202.15.5.2', 'ftp.bank.com 202.15.5.3', 'sshd1.bank.com 202.15.5.4', 'vpn.bank.com 202.15.5.5']
bank.com ['bank.com 127.0.0.1', 'www.bank.com 202.15.5.1', 'smtp.bank.com 202.15.5.2', 'ftp.bank.com 202.15.5.3', 'sshd1.bank.com 202.15.5.4', 'vpn.bank.com 202.15.5.5']
shop.com ['shop.com 127.0.0.1', 'www.shop.com 133.54.5.1', 'smtp.shop.com 133.54.5.2', 'ftp.shop.com 133.54.5.3', 'sshd1.shop.com 133.54.5.4', 'vpn.shop.com 133.54.5.5']
store.com ['store.com 127.0.0.1', 'www.store.com 143.11.5.21', 'smtp.store.com 143.11.5.22', 'ftp.store.com 143.11.5.23', 'sshd1.store.com 143.11.5.24', 'vpn.store.com 143.11.5.25']
mynah.edu ['mynah.edu 127.0.0.1', 'www.mynah.edu 198.167.5.1', 'smtp.mynah.edu 198.167.5.2', 'ftp.mynah.edu 198.167.5.3', 'sshd1.mynah.edu 198.167.5.4', 'vpn.mynah.edu 198.167.5.5']
bank.edu ['bank.edu 127.0.0.1', 'www.bank.edu 192.13.5.1', 'smtp.bank.edu 192.13.5.2', 'ftp.bank.edu 192.13.5.3', 'sshd1.bank.edu 192.13.5.4', 'vpn.bank.edu 192.13.5.5']
cougar.edu ['cougar.edu 127.0.0.1', 'www.cougar.edu 212.18.25.1', 'smtp.cougar.edu 212.18.25.2', 'ftp.cougar.edu 212.18.35.3', 'sshd1.cougar.edu 212.18.45.4', 'vpn.cougar.edu 212.18.55.5']
bank.com ['bank.com 127.0.0.1', 'www.bank.com 202.15.5.1', 'smtp.bank.com 202.15.5.2', 'ftp.bank.com 202.15.5.3', 'sshd1.bank.com 202.15.5.4', 'vpn.bank.com 202.15.5.5']
shop.com ['shop.com 127.0.0.1', 'www.shop.com 133.54.5.1', 'smtp.shop.com 133.54.5.2', 'ftp.shop.com 133.54.5.3', 'sshd1.shop.com 133.54.5.4', 'vpn.shop.com 133.54.5.5']
store.com ['store.com 127.0.0.1', 'www.store.com 143.11.5.21', 'smtp.store.com 143.11.5.22', 'ftp.store.com 143.11.5.23', 'sshd1.store.com 143.11.5.24', 'vpn.store.com 143.11.5.25']
mynah.edu ['mynah.edu 127.0.0.1', 'www.mynah.edu 198.167.5.1', 'smtp.mynah.edu 198.167.5.2', 'ftp.mynah.edu 198.167.5.3', 'sshd1.mynah.edu 198.167.5.4', 'vpn.mynah.edu 198.167.5.5']
bank.edu ['bank.edu 127.0.0.1', 'www.bank.edu 192.13.5.1', 'smtp.bank.edu 192.13.5.2', 'ftp.bank.edu 192.13.5.3', 'sshd1.bank.edu 192.13.5.4', 'vpn.bank.edu 192.13.5.5']
cougar.edu ['cougar.edu 127.0.0.1', 'www.cougar.edu 212.18.25.1', 'smtp.cougar.edu 212.18.25.2', 'ftp.cougar.edu 212.18.35.3', 'sshd1.cougar.edu 212.18.45.4', 'vpn.cougar.edu 212.18.55.5']
